as_of_date,overall_rank,research_priority,security_id,stock_code_5d,official_security_name_en,primary_sleeve,active_research_cohort,research_stage,research_decision,decision_reason,candidate_pool_admission,simulation_admission,real_account_admission,order_generation,trade_authority
2026-07-21,1,A_IMMEDIATE_RESEARCH,HKEX:02388,02388,BOC HONG KONG,DEFENSIVE_STABILITY,True,INVESTMENT_CASE_READY,GRADUATED,FORMAL_RESEARCH_OBJECT_REQUIRED,False,False,False,False,NONE
2026-07-21,2,A_IMMEDIATE_RESEARCH,HKEX:00440,00440,DAH SING,HIGH_DIVIDEND_VALUE,True,DEFERRED,DEFERRED,FORMAL_RESEARCH_OBJECT_REQUIRED,False,False,False,False,NONE
2026-07-21,3,A_IMMEDIATE_RESEARCH,HKEX:00005,00005,HSBC HOLDINGS,TREND_LIQUIDITY,True,DEFERRED,DEFERRED,FORMAL_RESEARCH_OBJECT_REQUIRED,False,False,False,False,NONE
2026-07-21,4,A_IMMEDIATE_RESEARCH,HKEX:00941,00941,CHINA MOBILE,DEFENSIVE_STABILITY,True,INVESTMENT_CASE_READY,GRADUATED,FORMAL_RESEARCH_OBJECT_REQUIRED,False,False,False,False,NONE
2026-07-21,5,A_IMMEDIATE_RESEARCH,HKEX:02319,02319,MENGNIU DAIRY,RECOVERY_WATCH,True,DEFERRED,DEFERRED,FORMAL_RESEARCH_OBJECT_REQUIRED,False,False,False,False,NONE
2026-07-21,6,A_IMMEDIATE_RESEARCH,HKEX:00001,00001,CKH HOLDINGS,TREND_LIQUIDITY,True,DEFERRED,DEFERRED,FORMAL_RESEARCH_OBJECT_REQUIRED,False,False,False,False,NONE
2026-07-21,7,A_IMMEDIATE_RESEARCH,HKEX:00388,00388,HKEX,DEFENSIVE_STABILITY,True,DEFERRED,DEFERRED,FORMAL_RESEARCH_OBJECT_REQUIRED,False,False,False,False,NONE
2026-07-21,8,A_IMMEDIATE_RESEARCH,HKEX:02359,02359,WUXI APPTEC,RECOVERY_WATCH,True,SHADOW_TRACK,SHADOW_TRACK,FORMAL_RESEARCH_OBJECT_REQUIRED,False,False,False,False,NONE
2026-07-21,9,A_IMMEDIATE_RESEARCH,HKEX:02555,02555,CHABAIDAO,HIGH_DIVIDEND_VALUE,True,DEFERRED,DEFERRED,FORMAL_RESEARCH_OBJECT_REQUIRED,False,False,False,False,NONE
2026-07-21,10,A_IMMEDIATE_RESEARCH,HKEX:01530,01530,3SBIO,QUALITY_COMPOUNDER,True,DEFERRED,DEFERRED,FORMAL_RESEARCH_OBJECT_REQUIRED,False,False,False,False,NONE
2026-07-21,11,A_IMMEDIATE_RESEARCH,HKEX:00966,00966,CHINA TAIPING,QUALITY_COMPOUNDER,True,DEFERRED,DEFERRED,FORMAL_RESEARCH_OBJECT_REQUIRED,False,False,False,False,NONE
2026-07-21,12,A_IMMEDIATE_RESEARCH,HKEX:03918,03918,NAGACORP,QUALITY_COMPOUNDER,True,REJECTED,REJECTED,FORMAL_RESEARCH_OBJECT_REQUIRED,False,False,False,False,NONE
2026-07-21,13,A_IMMEDIATE_RESEARCH,HKEX:00300,00300,MIDEA GROUP,TREND_LIQUIDITY,True,INVESTMENT_CASE_READY,GRADUATED,FORMAL_RESEARCH_OBJECT_REQUIRED,False,False,False,False,NONE
2026-07-21,14,A_IMMEDIATE_RESEARCH,HKEX:00270,00270,GUANGDONG INV,DEFENSIVE_STABILITY,True,DEFERRED,DEFERRED,FORMAL_RESEARCH_OBJECT_REQUIRED,False,False,False,False,NONE
2026-07-21,15,A_IMMEDIATE_RESEARCH,HKEX:01308,01308,SITC,TREND_LIQUIDITY,True,DEFERRED,DEFERRED,FORMAL_RESEARCH_OBJECT_REQUIRED,False,False,False,False,NONE
2026-07-21,16,A_IMMEDIATE_RESEARCH,HKEX:00002,00002,CLP HOLDINGS,DEFENSIVE_STABILITY,True,INVESTMENT_CASE_READY,GRADUATED,FORMAL_RESEARCH_OBJECT_REQUIRED,False,False,False,False,NONE
2026-07-21,17,A_IMMEDIATE_RESEARCH,HKEX:02877,02877,SHINEWAY PHARM,HIGH_DIVIDEND_VALUE,True,DEFERRED,DEFERRED,FORMAL_RESEARCH_OBJECT_REQUIRED,False,False,False,False,NONE
2026-07-21,18,A_IMMEDIATE_RESEARCH,HKEX:09999,09999,NTES,RECOVERY_WATCH,True,SHADOW_TRACK,SHADOW_TRACK,FORMAL_RESEARCH_OBJECT_REQUIRED,False,False,False,False,NONE
2026-07-21,19,A_IMMEDIATE_RESEARCH,HKEX:00003,00003,HK & CHINA GAS,DEFENSIVE_STABILITY,True,DEFERRED,DEFERRED,FORMAL_RESEARCH_OBJECT_REQUIRED,False,False,False,False,NONE
2026-07-21,20,A_IMMEDIATE_RESEARCH,HKEX:02888,02888,STANCHART,TREND_LIQUIDITY,True,DEFERRED,DEFERRED,FORMAL_RESEARCH_OBJECT_REQUIRED,False,False,False,False,NONE
2026-07-21,21,B_WATCH_OR_TRIGGER,HKEX:00669,00669,TECHTRONIC IND,TREND_LIQUIDITY,False,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
2026-07-21,22,B_WATCH_OR_TRIGGER,HKEX:06821,06821,ASYMCHEM,RECOVERY_WATCH,False,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
2026-07-21,23,B_WATCH_OR_TRIGGER,HKEX:09992,09992,POP MART,QUALITY_COMPOUNDER,False,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
2026-07-21,24,B_WATCH_OR_TRIGGER,HKEX:02510,02510,TS LINES,HIGH_DIVIDEND_VALUE,False,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
2026-07-21,25,B_WATCH_OR_TRIGGER,HKEX:01113,01113,CK ASSET,TREND_LIQUIDITY,False,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
2026-07-21,26,B_WATCH_OR_TRIGGER,HKEX:03698,03698,HUISHANG BANK,QUALITY_COMPOUNDER,False,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
2026-07-21,27,B_WATCH_OR_TRIGGER,HKEX:00934,00934,SINOPEC KANTONS,HIGH_DIVIDEND_VALUE,False,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
2026-07-21,28,B_WATCH_OR_TRIGGER,HKEX:00551,00551,YUE YUEN IND,HIGH_DIVIDEND_VALUE,False,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
2026-07-21,29,B_WATCH_OR_TRIGGER,HKEX:09636,09636,JF SMARTINVEST,QUALITY_COMPOUNDER,False,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
2026-07-21,30,B_WATCH_OR_TRIGGER,HKEX:00006,00006,POWER ASSETS,DEFENSIVE_STABILITY,False,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
